codigo,promedio_acumulado_programa_principal(pam),promedio_semestral_programa_principal(pcp),creditos_inscritos,participacion_total,cluster,perfil
c101312my324467j,3.74,4.5,0,0.0,0,Perfil 1
c101314ch354471s,3.63,4.2,16,25.0,0,Perfil 1
c101319es498415t,3.99,4.6,0,14.0,0,Perfil 1
c101324xk168209o,3.06,3.4,0,3.0,1,Perfil 2
c101333jg13355c,4.43,4.58,0,10.0,0,Perfil 1
c101335of349288s,4.07,4.5,0,2.0,0,Perfil 1
c101343wf34361v,2.99,2.75,21,3.0,1,Perfil 2
c101382ix60215h,3.53,2.04,0,3.0,1,Perfil 2
c101390ot51409a,3.82,3.82,14,2.0,0,Perfil 1
c101394ur101264h,4.07,4.14,22,23.0,0,Perfil 1
c101402kt412193t,3.79,3.96,20,10.0,0,Perfil 1
c101402vu93149c,4.17,4.11,0,9.0,0,Perfil 1
c101403xc6939q,3.51,3.0,16,0.0,1,Perfil 2
c101406jc188218l,4.32,4.32,19,1.0,0,Perfil 1
c101407lj297296s,4.71,4.71,19,16.0,0,Perfil 1
c10141mb303471r,3.33,2.87,16,40.0,1,Perfil 2
c10142fr50096u,3.88,4.13,15,0.0,0,Perfil 1
c101444tx18845k,3.7,3.46,0,2.0,0,Perfil 1
c101453dg325333n,3.57,3.34,20,4.0,1,Perfil 2
c101489ho303414h,4.52,4.57,14,6.0,0,Perfil 1
c101496gy109337a,3.75,3.53,18,3.0,0,Perfil 1
c10151aj7233b,3.51,3.45,19,5.0,1,Perfil 2
c10170va31427j,4.1,4.8,0,12.0,0,Perfil 1
c10171rk47538t,4.15,4.33,8,17.0,0,Perfil 1
c10202gf8109c,3.89,3.89,20,6.0,0,Perfil 1
c102101te146242h,4.09,4.69,0,3.0,0,Perfil 1
c102119nw356269t,4.07,4.39,0,7.0,0,Perfil 1
c102121jr281276n,3.78,4.11,0,13.0,0,Perfil 1
c102121mw5536w,3.83,4.6,13,0.0,0,Perfil 1
c102127dh283367x,3.88,4.68,43,0.0,0,Perfil 1
c102130sx8817s,4.13,3.8,0,12.0,0,Perfil 1
c102132vn41751d,4.04,5.0,0,2.0,0,Perfil 1
c102133qy247256g,4.18,4.66,33,0.0,0,Perfil 1
c102135pm244496h,3.72,3.52,17,0.0,0,Perfil 1
c102136eb348394b,3.82,3.98,18,7.0,0,Perfil 1
c10214fe27880w,4.12,4.11,0,12.0,0,Perfil 1
c102152rv465477p,4.34,4.6,0,2.0,0,Perfil 1
c102162gh480361g,4.15,4.44,0,12.0,0,Perfil 1
c102163vn83291x,4.14,4.99,0,0.0,0,Perfil 1
c102187dp86274m,4.25,4.35,18,4.0,0,Perfil 1
c102189qc70229p,4.26,4.26,19,22.0,0,Perfil 1
c10219fz266344w,4.12,4.6,0,17.0,0,Perfil 1
c10219zp41129k,3.21,2.07,0,3.0,1,Perfil 2
c10220bd422233d,3.86,4.0,0,4.0,0,Perfil 1
c102227ur233372m,4.21,4.17,21,6.0,0,Perfil 1
c102250ve45642a,3.98,4.6,14,8.0,0,Perfil 1
c102252re2016z,4.59,4.73,17,0.0,0,Perfil 1
c102253kn47269t,3.81,3.19,32,17.0,0,Perfil 1
c102259md161368c,2.96,2.96,0,2.0,1,Perfil 2
c10225sy208379e,4.49,4.6,0,8.0,0,Perfil 1
c102260oq260246b,4.38,4.1,0,3.0,0,Perfil 1
c102262fm274317z,3.43,3.8,0,1.0,0,Perfil 1
c102262xt237212n,2.59,1.54,0,5.0,1,Perfil 2
c102272cw335466n,4.13,4.6,0,4.0,0,Perfil 1
c102274bh19240y,4.25,4.5,18,19.0,0,Perfil 1
c102280ad441244v,4.12,4.1,25,6.0,0,Perfil 1
c102289nx280366u,4.22,5.0,14,9.0,0,Perfil 1
c10228cf39426g,3.97,4.08,25,8.0,0,Perfil 1
c102304ll449257q,3.79,3.7,13,0.0,0,Perfil 1
c10230me289386i,3.66,3.19,0,6.0,1,Perfil 2
c10230rz173219e,3.8,4.03,16,9.0,0,Perfil 1
c10234da16367s,3.91,3.5,3,5.0,0,Perfil 1
c102363nt316135a,3.88,4.21,7,6.0,0,Perfil 1
c102376ca430180d,4.06,4.06,0,1.0,0,Perfil 1
c102386so173224b,4.38,4.53,16,3.0,0,Perfil 1
c10239jy267108x,0.78,0.78,16,0.0,1,Perfil 2
c10239lv302483o,4.27,4.53,0,0.0,0,Perfil 1
c1023oq140220r,3.75,4.67,0,9.0,0,Perfil 1
